
2025-12-03 11:48:21.610820
2025-12-03 15:38:01.130026
2025-12-03 15:39:29.312284
2025-12-03 15:58:42.6557170.0; F1=0.655, Pr=0.569, Re=0.773; {'seq_avg': {'precision': 0.5690184574274522, 'recall': 0.7726465815486029, 'f1': 0.6553799244928027}, 'frame_avg': {'precision': 0.4820236935834369, 'recall': 0.7688043952804893, 'f1': 0.59253855514688}}
0.05; F1=0.655, Pr=0.569, Re=0.773; {'seq_avg': {'precision': 0.568942706770286, 'recall': 0.7725759564349135, 'f1': 0.6553042725317467}, 'frame_avg': {'precision': 0.48192161647078663, 'recall': 0.768724336736724, 'f1': 0.592437650368548}}
0.1; F1=0.654, Pr=0.568, Re=0.771; {'seq_avg': {'precision': 0.5683847290685188, 'recall': 0.7710330545314158, 'f1': 0.6543789684871146}, 'frame_avg': {'precision': 0.48118835431360146, 'recall': 0.7667581644767116, 'f1': 0.5912995369043703}}
0.15; F1=0.652, Pr=0.566, Re=0.768; {'seq_avg': {'precision': 0.566117885136331, 'recall': 0.7678605720810814, 'f1': 0.6517340678092637}, 'frame_avg': {'precision': 0.47881557131812197, 'recall': 0.7617272856305364, 'f1': 0.588011745688335}}
0.2; F1=0.647, Pr=0.562, Re=0.763; {'seq_avg': {'precision': 0.5616244913764565, 'recall': 0.7630148056971042, 'f1': 0.6470105531506736}, 'frame_avg': {'precision': 0.47430269982128487, 'recall': 0.7539933067629666, 'f1': 0.5823043616975617}}
0.25; F1=0.640, Pr=0.555, Re=0.756; {'seq_avg': {'precision': 0.5549416118382434, 'recall': 0.7562755866640359, 'f1': 0.6401514463608886}, 'frame_avg': {'precision': 0.4690369767908722, 'recall': 0.7477491853344788, 'f1': 0.5764727249601821}}
0.3; F1=0.631, Pr=0.545, Re=0.747; {'seq_avg': {'precision': 0.5453735295095347, 'recall': 0.7474942975270774, 'f1': 0.6306346167883223}, 'frame_avg': {'precision': 0.4622840705795824, 'recall': 0.7412362690504293, 'f1': 0.5694323700805866}}
0.35; F1=0.616, Pr=0.531, Re=0.734; {'seq_avg': {'precision': 0.5307581345811344, 'recall': 0.7335197612457784, 'f1': 0.6158797546682867}, 'frame_avg': {'precision': 0.45233383115465675, 'recall': 0.7314664658721642, 'f1': 0.5589912921970092}}
0.4; F1=0.595, Pr=0.510, Re=0.713; {'seq_avg': {'precision': 0.5102378948329938, 'recall': 0.7126406539299115, 'f1': 0.5946890922266147}, 'frame_avg': {'precision': 0.43948426827662596, 'recall': 0.7178490178967726, 'f1': 0.5451901438116765}}
0.45; F1=0.569, Pr=0.486, Re=0.687; {'seq_avg': {'precision': 0.4860908703080575, 'recall': 0.6867461556673674, 'f1': 0.5692539186532437}, 'frame_avg': {'precision': 0.42366151099350463, 'recall': 0.7006110113557579, 'f1': 0.5280248583669613}}
0.5; F1=0.537, Pr=0.456, Re=0.653; {'seq_avg': {'precision': 0.45576779854758337, 'recall': 0.6528825216420963, 'f1': 0.5368019549177652}, 'frame_avg': {'precision': 0.4037764339315019, 'recall': 0.6773337571435532, 'f1': 0.505945483260851}}
0.55; F1=0.499, Pr=0.421, Re=0.613; {'seq_avg': {'precision': 0.42121705054460007, 'recall': 0.6129821882312454, 'f1': 0.4993207105214328}, 'frame_avg': {'precision': 0.3798719033339352, 'recall': 0.648492237050651, 'f1': 0.4790987369388141}}
0.6; F1=0.456, Pr=0.382, Re=0.566; {'seq_avg': {'precision': 0.38156340441930614, 'recall': 0.5660816549192603, 'f1': 0.45585853332273557}, 'frame_avg': {'precision': 0.351419102288839, 'recall': 0.6122326000194793, 'f1': 0.4465311069869731}}
0.65; F1=0.406, Pr=0.337, Re=0.511; {'seq_avg': {'precision': 0.3365277353829591, 'recall': 0.5112952602165853, 'f1': 0.405898488070735}, 'frame_avg': {'precision': 0.3174839738554207, 'recall': 0.5680901286904791, 'f1': 0.4073278815317265}}
0.7; F1=0.348, Pr=0.285, Re=0.448; {'seq_avg': {'precision': 0.2852359312875724, 'recall': 0.4477810076147708, 'f1': 0.34848644264932255}, 'frame_avg': {'precision': 0.2778344670491651, 'recall': 0.5140439252519337, 'f1': 0.36070972866734624}}
0.75; F1=0.287, Pr=0.231, Re=0.377; {'seq_avg': {'precision': 0.23095061368662656, 'recall': 0.3774429725807216, 'f1': 0.28656017458710203}, 'frame_avg': {'precision': 0.2343072322231203, 'recall': 0.45049508308330494, 'f1': 0.308276574678758}}
0.8; F1=0.224, Pr=0.177, Re=0.302; {'seq_avg': {'precision': 0.17733292749186141, 'recall': 0.3024032701876459, 'f1': 0.22356477349375678}, 'frame_avg': {'precision': 0.18771838325543774, 'recall': 0.37611091837066307, 'f1': 0.25044081007367935}}
0.85; F1=0.164, Pr=0.128, Re=0.227; {'seq_avg': {'precision': 0.12773587450130608, 'recall': 0.22746517533528768, 'f1': 0.16360009692208136}, 'frame_avg': {'precision': 0.14079711946320705, 'recall': 0.2936160779921597, 'f1': 0.19032708145855945}}
0.9; F1=0.107, Pr=0.083, Re=0.151; {'seq_avg': {'precision': 0.08276152455508273, 'recall': 0.1512955824227706, 'f1': 0.1069948545586566}, 'frame_avg': {'precision': 0.09537549692045005, 'recall': 0.20336381162078324, 'f1': 0.12985184094909213}}
0.95; F1=0.060, Pr=0.046, Re=0.085; {'seq_avg': {'precision': 0.04608104228972573, 'recall': 0.08506206743408935, 'f1': 0.05977818788858508}, 'frame_avg': {'precision': 0.05543391593353689, 'recall': 0.11814286855986962, 'f1': 0.07546080385126025}}
1.0; F1=0.024, Pr=0.018, Re=0.035; {'seq_avg': {'precision': 0.017936515053352902, 'recall': 0.035039862229293055, 'f1': 0.023727293128781343}, 'frame_avg': {'precision': 0.024470633830171395, 'recall': 0.05267121784819187, 'f1': 0.033416311828402774}}
